date,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,pctChange,volume,openInterest,iv,itm,contractSize,Index
2023-07-13,SPY230713C00438000,2023-07-12 20:08:39+00:00,438.0,8.5,8.4,8.43,3.3400002,64.72869,1318.0,2358,0.2963937548828125,True,REGULAR,36
2023-07-13,SPY230713C00439000,2023-07-12 20:00:01+00:00,439.0,7.22,7.4,7.44,2.85,65.21739,463.0,3265,0.27197993652343744,True,REGULAR,37
2023-07-13,SPY230713C00440000,2023-07-12 20:13:58+00:00,440.0,6.43,6.41,6.45,2.83,78.611115,1174.0,2524,0.24658956542968752,True,REGULAR,38
2023-07-13,SPY230713C00441000,2023-07-12 20:11:58+00:00,441.0,5.48,5.43,5.47,2.56,87.67123,1474.0,2611,0.22168747070312497,True,REGULAR,39
2023-07-13,SPY230713C00442000,2023-07-12 20:11:13+00:00,442.0,4.5,4.48,4.5,2.18,93.96552,2001.0,3798,0.19727365234375,True,REGULAR,40
2023-07-13,SPY230713C00443000,2023-07-12 20:11:39+00:00,443.0,3.59,3.53,3.57,1.8,100.55866,5306.0,3748,0.17627776855468752,True,REGULAR,41
2023-07-13,SPY230713C00444000,2023-07-12 20:14:56+00:00,444.0,2.67,2.66,2.68,1.3000001,94.89052,14291.0,3315,0.1562584375,True,REGULAR,42
2023-07-13,SPY230713C00445000,2023-07-12 20:14:53+00:00,445.0,1.9,1.88,1.89,0.88,86.27451,51696.0,4713,0.141610146484375,True,REGULAR,43
2023-07-13,SPY230713C00446000,2023-07-12 20:14:54+00:00,446.0,1.25,1.24,1.25,0.51,68.91892,134484.0,3163,0.13306531005859373,True,REGULAR,44
2023-07-13,SPY230713C00447000,2023-07-12 20:14:59+00:00,447.0,0.77,0.77,0.78,0.24000001,45.283024,183791.0,2634,0.1294032373046875,False,REGULAR,45
2023-07-13,SPY230713C00448000,2023-07-12 20:14:58+00:00,448.0,0.44,0.44,0.45,0.07999998,22.222216,94408.0,3782,0.12696185546875,False,REGULAR,46
2023-07-13,SPY230713C00449000,2023-07-12 20:14:58+00:00,449.0,0.23,0.23,0.24,-0.019999996,-7.999998,47784.0,1435,0.12574116455078127,False,REGULAR,47
2023-07-13,SPY230713C00450000,2023-07-12 20:14:51+00:00,450.0,0.12,0.11,0.12,-0.050000004,-29.411766,65322.0,5755,0.12549702636718751,False,REGULAR,48
2023-07-13,SPY230713C00451000,2023-07-12 20:14:53+00:00,451.0,0.05,0.05,0.06,-0.05,-50.0,19810.0,1086,0.127938408203125,False,REGULAR,49
2023-07-13,SPY230713C00452000,2023-07-12 20:14:52+00:00,452.0,0.03,0.02,0.03,-0.049999997,-62.5,12146.0,1600,0.13086806640624998,False,REGULAR,50
2023-07-13,SPY230713C00453000,2023-07-12 20:12:21+00:00,453.0,0.02,0.01,0.02,-0.04,-66.66667,8915.0,474,0.14063359375,False,REGULAR,51
2023-07-13,SPY230713C00454000,2023-07-12 20:09:46+00:00,454.0,0.01,0.01,0.02,-0.03,-75.0,5133.0,485,0.1562584375,False,REGULAR,52
2023-07-13,SPY230713C00455000,2023-07-12 20:12:45+00:00,455.0,0.01,0.0,0.01,-0.02,-66.66667,3009.0,432,0.1601646484375,False,REGULAR,53
2023-07-13,SPY230713C00456000,2023-07-12 19:57:03+00:00,456.0,0.01,0.0,0.01,-0.02,-66.66667,2356.0,891,0.17188328125000002,False,REGULAR,54
2023-07-13,SPY230713C00457000,2023-07-12 19:52:03+00:00,457.0,0.01,0.0,0.01,-0.01,-50.0,978.0,407,0.187508125,False,REGULAR,55
2023-07-13,SPY230713C00458000,2023-07-12 19:45:40+00:00,458.0,0.01,0.0,0.01,-0.01,-50.0,980.0,428,0.20313296874999998,False,REGULAR,56
2023-07-13,SPY230713C00459000,2023-07-12 20:12:53+00:00,459.0,0.01,0.0,0.01,-0.01,-50.0,1897.0,248,0.21875781249999998,False,REGULAR,57
2023-07-13,SPY230713C00460000,2023-07-12 20:12:10+00:00,460.0,0.01,0.0,0.01,0.0,0.0,530.0,286,0.23438265625,False,REGULAR,58
2023-07-13,SPY230713C00461000,2023-07-12 19:51:21+00:00,461.0,0.01,0.0,0.01,0.0,0.0,125.0,32,0.2461012890625,False,REGULAR,59
2023-07-13,SPY230713C00462000,2023-07-12 19:01:26+00:00,462.0,0.01,0.0,0.01,0.0,0.0,4.0,127,0.2617261328125,False,REGULAR,60
2023-07-13,SPY230713C00463000,2023-07-12 14:36:03+00:00,463.0,0.01,0.0,0.01,0.0,0.0,2.0,269,0.273444765625,False,REGULAR,61
