Date,Open,Close,High,Index,Volume,Index
0,25.04718263390054,25.029380798339844,25.04718263390054,24.92256978497566,1003200,0
0,25.04718474210319,25.207401275634766,25.20740127563477,25.04718474210319,480500,1
0,25.189588276578807,25.26079559326172,25.278597422432444,25.136182789066627,201300,2
0,25.296391159919516,25.527814865112305,25.545616688588677,25.278589336443147,529400,3
0,25.61681122250027,25.634613037109375,25.688018480936684,25.331982188754612,531500,4
0,25.616849899291992,25.616849899291992,25.670255423751946,25.474435167398777,492100,5
0,25.616849899291992,25.616849899291992,25.70585910672525,25.58124621631869,596100,6
0,25.527821396012836,25.438812255859375,25.527821396012836,25.385406771767297,122100,7
0,25.43880355216505,25.474407196044922,25.492209017984855,25.367596264405318,379600,8
0,25.510020397966198,25.599029541015625,25.70584051267494,25.510020397966198,19500,9
0,25.56341846789525,25.403202056884766,25.56341846789525,25.403202056884766,42500,10
0,25.331995088534764,24.76233673095703,25.331995088534764,24.726733083608423,374800,11
0,24.762339178949812,24.744537353515625,24.79794282981818,24.655528226344707,210900,12
0,25.02936131564553,24.726730346679688,25.02936131564553,24.3884957343061,378100,13
0,24.726746676813068,24.81575584411621,24.81575584411621,24.69114300989181,34900,14
0,24.886962342551985,24.90476417541504,24.940367841141153,24.81575501109976,513600,15
0,24.97596631438947,24.8869571685791,24.99376814355154,24.762344364444584,373700,16
0,24.904770045630677,25.207401275634766,25.20740127563477,24.904770045630677,26300,17
0,25.189588276578807,25.26079559326172,25.278597422432444,25.136182789066627,44500,18
0,25.314196173864552,25.29639434814453,25.314196173864552,25.17178156810441,66200,19
0,25.38540565420728,25.225189208984375,25.38540565420728,25.189585554490396,66500,20
0,25.242992968817912,25.599029541015625,25.599029541015625,25.207389311598142,182400,21
0,25.634629944354874,25.70583724975586,25.723639076106103,25.59902629165438,280100,22
0,25.74145486826352,25.56343650817871,25.74145486826352,25.563436508178707,89500,23
0,25.599030902265834,25.492219924926758,25.705841879604915,25.474418095370243,40000,24
0,25.545630761183023,26.0618839263916,26.061883926391598,25.545630761183023,50800,25
0,26.008475442877202,25.972871780395508,26.026277274118048,25.919466286672968,169300,26
0,25.972885371885287,26.026290893554688,26.026290893554688,25.866074328546485,194400,27
0,26.044079653683678,25.95507049560547,26.115286980146244,25.919466832374187,70900,28
0,25.741449090398522,25.68804359436035,25.759250922411244,25.527827106245837,643600,29
0,25.670232262446962,25.812646865844727,25.812646865844727,25.670232262446962,310800,30
0,25.812646865844727,25.812646865844727,25.88385416754361,25.812646865844727,30800,31
0,25.777042354501674,25.652429580688477,25.777042354501674,25.616825931027563,21800,32
0,25.759241389570565,25.812646865844727,25.919457818393052,25.759241389570565,59300,33
0,25.916673497472015,25.77358627319336,25.916673497472015,25.773586273193356,66900,34
0,25.523192965393704,25.630508422851562,25.68416615158049,25.505307055817394,183400,35
0,25.702032777260275,25.684146881103516,25.719918673417034,25.648375088790004,55200,36
0,25.648375088790004,25.684146881103516,25.79146225804406,25.5231738156927,37200,37
0,25.70204938076772,25.845136642456055,25.898794365589183,25.66627756534563,110100,38
0,25.827233358979143,25.7020320892334,25.845119254657106,25.68414619355544,101500,39
0,25.719936682792977,25.80936622619629,25.934567586960927,25.719936682792977,87100,40
0,25.845139054652325,25.880910873413086,25.88091087341309,25.80936723589156,56000,41
0,25.952451386722124,25.863021850585938,26.023995015631076,25.863021850585934,111600,42
0,25.898787594437184,25.77358627319336,25.898787594437184,25.71992856408886,129500,43
0,25.55896109642499,25.237014770507812,25.55896109642499,25.237014770507812,59400,44
0,25.43375866705675,25.362215042114258,25.43375866705675,25.29067141717176,172200,45
0,25.415881317440824,25.290679931640625,25.415881317440824,25.219136282611938,129700,46
0,25.326434919748447,25.38009262084961,25.38009262084961,25.272777218647285,28000,47
0,25.48741900592769,25.344331741333008,25.48741900592769,25.237016292886995,180800,48
0,25.59471671516562,25.7020320892334,25.719917984911362,25.558944923809694,348500,49
0,25.684157450993858,25.755701065063477,25.845130582650505,25.666271547476452,146100,50
0,25.77359409624081,25.71993637084961,25.791480004704546,25.702050462385873,119600,51
0,25.702050462385873,25.71993637084961,25.77359409624081,25.612620920067204,148600,52
0,25.73782227931334,25.71993637084961,25.77359409624081,25.68416455392214,47900,53
0,25.71992335239602,25.612607955932617,25.79146695003829,25.59472205652205,157000,54
0,25.57686398154811,25.48743438720703,25.61263581928454,25.326461117393094,279500,55
0,25.5410584278321,25.469514846801758,25.5410584278321,25.397971265771414,67900,56
0,25.36221579637161,25.147584915161133,25.57684667758209,25.147584915161133,97700,57
0,25.09391992705209,25.04026222229004,25.16546353340149,25.004490419115342,106000,58
0,25.05815004633003,24.84351921081543,25.147579561127785,24.771975598977228,62600,59
0,24.807748414172746,25.11180877685547,25.11180877685547,24.807748414172746,156800,60
0,25.07602760538214,25.058141708374023,25.129685296406496,25.022369914357785,85900,61
0,25.111804791350863,25.165462493896484,25.165462493896484,24.96871758456254,85000,62
0,25.254886786932637,25.201229095458984,25.344316272722057,25.201229095458984,88500,63
0,25.237013698464892,25.362215042114258,25.362215042114254,25.12969826105115,80500,64
0,25.41586356119463,25.451635360717773,25.541064859525637,25.380091761671487,149100,65
0,25.451649719965395,25.523193359375,25.612622908636997,25.451649719965395,109000,66
0,25.48741741019462,25.433759689331055,25.505303317149142,25.41587378237653,54700,67
0,25.451636222317823,25.38009262084961,25.451636222317823,25.3443208201155,68000,68
0,25.41587378237653,25.433759689331055,25.576846944967233,25.41587378237653,113900,69
0,25.433768809342585,25.54108428955078,25.54108428955078,25.362225155870455,42600,70
